sheet,elapsed_sec,R2,R2_adj,RSS,AIC,cond_JTJ,used_pinv,w0_est,x0_fixed,y0_fixed,z0_fixed,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
E1,198.9073032999877,0.9970887141679105,0.9965226308116708,2.887439400775902,-102.7369488704223,109606.6589876237,False,0.03141075745224953,3.0825417041778564,16.7020320892334,0.11563242971897125,0.025627072900533676,0.0006164705264382064,0.007756901439279318,0.38731276988983154,8.242332114605233e-07,0.21093089878559113,0.0004125876002945006,0.10867869853973389,0.009832695126533508,1.0
E2,123.78437540004961,0.991159124310308,0.9894400651484234,18.30018936069847,-21.48913085688078,103600.27793643554,False,0.031282130628824234,3.88151216506958,24.68014144897461,0.508366584777832,0.017841415479779243,0.07447672635316849,0.007815387099981308,0.22631946206092834,8.242332114605233e-07,0.15561474859714508,0.0004125876002945006,0.07437987625598907,0.006082968786358833,1.0
E3,138.8527576000197,0.9904539941686362,0.9885978263680932,18.465883462186117,-21.0925375160995,72041.07986593664,False,0.022678297013044357,3.6852974891662598,23.26363182067871,0.1326395869255066,0.01924506574869156,0.09684892743825912,0.007489000912755728,0.19465087354183197,8.242332114605233e-07,0.1551111340522766,0.0004125876002945006,0.07993347197771072,0.01029109861701727,1.0
E4,179.25820709997788,0.993712562139223,0.9924900047774052,39.332131174069566,12.17660518492003,791162.9133403456,False,0.024225354194641113,6.052127361297607,41.27791976928711,0.1707180142402649,0.010042630136013031,0.09861114621162415,0.002646464155986905,0.28899675607681274,8.242332114605233e-07,0.1833503097295761,0.0004125876002945006,0.0932677611708641,0.0008079811814241111,1.0
E5,205.7893374999985,0.9933093026339421,0.9920083337016531,46.256224662436786,19.311393075433134,395358.8729601465,False,0.01609210856258869,4.547883987426758,42.4019660949707,0.042393412441015244,0.010221078060567379,0.07508518546819687,0.003238443285226822,0.17232079803943634,8.242332114605233e-07,0.13574960827827454,0.0004125876002945006,0.06772257387638092,0.00023868140124250203,1.0
E6,243.95826969994232,0.9898369558510487,0.9878608083776415,69.67678771106068,37.3369253780458,1289454.294684978,False,0.0263363104313612,5.6045308113098145,41.20490264892578,0.06092072278261185,0.009444632567465305,0.04502011463046074,0.0033449260517954826,0.35077089071273804,8.242332114605233e-07,0.12934519350528717,0.0004125876002945006,0.07099603116512299,0.00011026342690456659,1.0
E7,230.1269733000081,0.9896528484849674,0.9876409023570444,63.05869543608224,32.94566973334166,628929.9910434405,False,0.049968402832746506,6.101893901824951,40.325279235839844,0.1568724364042282,0.008819685317575932,0.0998309776186943,0.0020230254158377647,0.25632378458976746,8.242332114605233e-07,0.16520102322101593,0.0004125876002945006,0.0848345011472702,0.00017609717906452715,1.0
E8,220.66978439991362,0.9789184448285956,0.974819253545267,397.6708585964285,113.9742529050526,18304338.60866899,False,0.040866028517484665,5.180769443511963,68.1485595703125,0.019215669482946396,0.004085058346390724,0.09977661818265915,0.0006415230454877019,0.43865853548049927,8.242332114605233e-07,0.17273682355880737,0.0004125876002945006,0.09074091166257858,0.00012604905350599438,1.0
E9,254.90617480000947,0.9698391585300034,0.9639745504663929,588.4742044698929,131.21822331348727,17940364.196396794,False,0.022788597270846367,7.242109298706055,68.10994720458984,0.01321801170706749,0.005122669041156769,0.09963780641555786,0.0019002530025318265,0.5387911200523376,8.242332114605233e-07,0.10148313641548157,0.0004125876002945006,0.05205710604786873,5.9347683418309316e-05,1.0
E10,227.70042040001135,0.9858701819094604,0.9831227172807444,347.5611385468957,108.04815308164247,3260555.579956648,False,0.013857787474989891,6.0969038009643555,78.09254455566406,0.8276510834693909,0.005307761020958424,0.09955998510122299,0.0019927993416786194,0.17661648988723755,8.242332114605233e-07,0.10924289375543594,0.0004125876002945006,0.05436016246676445,0.00015187266399152577,1.0
